"OBJECTID","gml_id","STNID","COOPID","WBANID","COBAN","BEG_DATE","END_DATE","NAME","COUNTRY","STATE","COUNTY","DIV","LATITUDE","LONGITUDE","ELEVATION","SE_ANNO_CAD_DATA","gml_geometry_property"
8719,"F306__9472","20011024  ","218763","99999","218763NNNNN","194211","197909","WAYLAND 12 NW                ","UNITED STATES                  ","MN","LAKE OF THE WOODS","02",48.600000,-94.510000,1132.000000,"","Shape"
8720,"F306__9473","12002807  ","218774","99999","218774NNNNN","190502","190612","WAYZATA                      ","UNITED STATES                  ","MN","HENNEPIN","99",44.960000,-93.500000,942.000000,"","Shape"
8721,"F306__9474","20010670  ","218808","99999","218808NNNNN","194201","201012","WELLS                        ","UNITED STATES                  ","MN","FARIBAULT","08",43.730000,-93.730000,1197.000000,"","Shape"
8722,"F306__9475","30002946  ","218822","99999","218822NNNNN","190810","191110","WEST CONCORD                 ","UNITED STATES                  ","MN","DODGE","09",44.130000,-92.910000,1232.000000,"","Shape"
8723,"F306__9476","12002809  ","218832","99999","218832NNNNN","194009","194606","WEST UNION                   ","UNITED STATES                  ","MN","TODD","99",45.800000,-95.060000,-99999.000000,"","Shape"
8724,"F306__9477","20010839  ","218907","99999","218907NNNNN","191405","201012","WHEATON                      ","UNITED STATES                  ","MN","TRAVERSE","04",45.800000,-96.500000,1018.000000,"","Shape"
8725,"F306__9478","20010927  ","218939","99999","218939NNNNN","194808","199509","WHITEFACE RSVR               ","UNITED STATES                  ","MN","ST. LOUIS","03",47.280000,-92.180000,1492.000000,"","Shape"
8726,"F306__9479","30003004  ","218941","99999","218941NNNNN","190009","190108","WHITE BEAR                   ","UNITED STATES                  ","MN","WASHINGTON","06",45.160000,-93.000000,938.000000,"","Shape"
8800,"F306__9559","20011011  ","210050","99999","210050NNNNN","195704","201011","AGASSIZ REFUGE               ","UNITED STATES                  ","MN","MARSHALL","01",48.300000,-95.960000,1142.000000,"","Shape"
8801,"F306__9560","30002443  ","210056","99999","210056NNNNN","189402","195401","AIRLIE                       ","UNITED STATES                  ","MN","PIPESTONE","09",44.000000,-96.500000,1644.000000,"","Shape"
8802,"F306__9561","20010876  ","210059","99999","210059NNNNN","194006","201012","AITKIN 2E                    ","UNITED STATES                  ","MN","AITKIN","06",46.510000,-93.660000,1215.000000,"","Shape"
8803,"F306__9562","20010832  ","210069","99999","210069NNNNN","197512","197512","ALBANY RADIO KASM            ","UNITED STATES                  ","MN","STEARNS","05",45.630000,-94.600000,1230.000000,"","Shape"
8804,"F306__9563","20011047  ","210075","99999","210075NNNNN","188503","201012","ALBERT LEA 3 SE              ","UNITED STATES                  ","MN","FREEBORN","08",43.600000,-93.300000,1230.000000,"","Shape"
8805,"F306__9564","20010652  ","210080","99999","210080NNNNN","194808","195109","ALBERT LEA 3 E               ","UNITED STATES                  ","MN","FREEBORN","08",43.660000,-93.300000,1230.000000,"","Shape"
8806,"F306__9565","20010906  ","210096","99999","210096NNNNN","192705","195211","ALBORN                       ","UNITED STATES                  ","MN","ST. LOUIS","01",46.960000,-92.580000,1322.000000,"","Shape"
8807,"F306__9566","20010843  ","210110","99999","210110NNNNN","188609","194801","ALEXANDRIA                   ","UNITED STATES                  ","MN","DOUGLAS","99",45.860000,-95.400000,1391.000000,"","Shape"
8808,"F306__9567","20010842  ","210112","14910","21011214910","194005","201106","ALEXANDRIA MUNI AP           ","UNITED STATES                  ","MN","DOUGLAS","04",45.860000,-95.380000,1416.000000,"","Shape"
8809,"F306__9568","20010948  ","210128","99999","210128NNNNN","193009","195211","ALLEN JUNCTION               ","UNITED STATES                  ","MN","ST. LOUIS","99",47.530000,-92.110000,1490.000000,"","Shape"
8810,"F306__9569","30002899  ","210137","99999","210137NNNNN","189101","189308","ALMA CITY                    ","UNITED STATES                  ","MN","WASECA","08",44.080000,-93.750000,651.000000,"","Shape"
8811,"F306__9570","20010844  ","218947","99999","218947NNNNN","193909","201012","WHITE ROCK DAM               ","UNITED STATES                  ","MN","TRAVERSE","04",45.850000,-96.550000,1024.000000,"","Shape"
8812,"F306__9571","12002811  ","218951","99999","218951NNNNN","193907","194307","WHITEWATER STATE PARK        ","UNITED STATES                  ","MN","WINONA","99",44.080000,-92.030000,825.000000,"","Shape"
8813,"F306__9572","20011066  ","218986","99999","218986NNNNN","199012","201012","WILD RIVER SP                ","UNITED STATES                  ","MN","CHISAGO","06",45.510000,-92.730000,940.000000,"","Shape"
8814,"F306__9573","20010806  ","218999","14928","21899914928","194807","195109","WILLMAR                      ","UNITED STATES                  ","MN","KANDIYOHI","05",45.110000,-95.080000,1132.000000,"","Shape"
8815,"F306__9574","30015503  ","219001","99999","219001NNNNN","201008","201012","WILLMAR 2N                   ","UNITED STATES                  ","MN","KANDIYOHI","05",45.150000,-95.030000,1155.000000,"","Shape"
8816,"F306__9575","20010805  ","219004","99999","219004NNNNN","189303","201007","WILLMAR WWTP                 ","UNITED STATES                  ","MN","KANDIYOHI","05",45.100000,-95.030000,1100.000000,"","Shape"
8817,"F306__9576","30002947  ","219015","99999","219015NNNNN","189803","191003","WILLOW RIVER                 ","UNITED STATES                  ","MN","PINE","06",46.310000,-92.800000,1048.000000,"","Shape"
8818,"F306__9578","20010671  ","219046","99999","219046NNNNN","189810","201012","WINNEBAGO                    ","UNITED STATES                  ","MN","FARIBAULT","08",43.760000,-94.180000,1110.000000,"","Shape"
8819,"F306__9579","20010944  ","219059","99999","219059NNNNN","188704","201012","WINNIBIGOSHISH DAM           ","UNITED STATES                  ","MN","ITASCA","02",47.410000,-94.050000,1315.000000,"","Shape"
8820,"F306__9580","20010691  ","219067","99999","219067NNNNN","188511","200910","WINONA                       ","UNITED STATES                  ","MN","WINONA","09",44.030000,-91.630000,652.000000,"","Shape"
8821,"F306__9581","20010692  ","219072","99999","219072NNNNN","193901","201012","WINONA DAM 5 A               ","UNITED STATES                  ","MN","WINONA","09",44.080000,-91.660000,663.000000,"","Shape"
8822,"F306__9582","20010693  ","219074","99999","219074NNNNN","194810","194810","WINONA DAM 5 A L G           ","UNITED STATES                  ","MN","WINONA","09",44.080000,-91.680000,-99999.000000,"","Shape"
8823,"F306__9583","20010685  ","219077","99999","219077NNNNN","194808","195109","WINONA 3 SW                  ","UNITED STATES                  ","MN","WINONA","09",44.030000,-91.680000,741.000000,"","Shape"
8824,"F306__9584","20010788  ","219085","99999","219085NNNNN","194808","200602","WINSTED                      ","UNITED STATES                  ","MN","MCLEOD","05",44.950000,-94.050000,1030.000000,"","Shape"
8825,"F306__9585","20010736  ","219093","99999","219093NNNNN","191706","195110","WINTHROP                     ","UNITED STATES                  ","MN","SIBLEY","05",44.530000,-94.360000,-99999.000000,"","Shape"
8826,"F306__9586","20010983  ","219101","99999","219101NNNNN","191311","199509","WINTON PWR PLT               ","UNITED STATES                  ","MN","LAKE","03",47.930000,-91.760000,1337.000000,"","Shape"
8827,"F306__9587","20011097  ","219134","99999","219134NNNNN","199306","201012","WOLF RIDGE ELC               ","UNITED STATES                  ","MN","LAKE","03",47.450000,-91.210000,1400.000000,"","Shape"
8828,"F306__9588","20010646  ","219166","99999","219166NNNNN","189312","197110","WORTHINGTON                  ","UNITED STATES                  ","MN","NOBLES","07",43.610000,-95.600000,1591.000000,"","Shape"
8829,"F306__9589","20010647  ","219168","99999","219168NNNNN","198310","199412","WORTHINGTON RAD KWOA         ","UNITED STATES                  ","MN","NOBLES","07",43.610000,-95.660000,1700.000000,"","Shape"
8830,"F306__9590","20010660  ","219170","94927","21917094927","197111","201012","WORTHINGTON 2 NNE            ","UNITED STATES                  ","MN","NOBLES","07",43.630000,-95.560000,1570.000000,"","Shape"
8831,"F306__9592","12002815  ","219189","99999","219189NNNNN","194108","194601","WYKOFF NEAR                  ","UNITED STATES                  ","MN","FILLMORE","99",43.730000,-92.260000,1290.000000,"","Shape"
8832,"F306__9593","30002948  ","219201","99999","219201NNNNN","190106","190405","WYOMING                      ","UNITED STATES                  ","MN","CHISAGO","06",45.330000,-93.000000,900.000000,"","Shape"
8833,"F306__9594","20010760  ","219208","99999","219208NNNNN","195412","199509","YOUNG AMERICA 1SW            ","UNITED STATES                  ","MN","CARVER","05",44.800000,-94.010000,1110.000000,"","Shape"
8834,"F306__9595","20010712  ","219231","99999","219231NNNNN","197808","201010","ZUMBRO FALLS                 ","UNITED STATES                  ","MN","WABASHA","09",44.280000,-92.410000,880.000000,"","Shape"
8835,"F306__9596","20010711  ","219235","99999","219235NNNNN","194812","195109","ZUMBRO FALLS 1 SE            ","UNITED STATES                  ","MN","WABASHA","09",44.280000,-92.410000,1079.000000,"","Shape"
8836,"F306__9597","30001313  ","219237","99999","219237NNNNN","200205","200310","ZUMBRO FALLS 2NE             ","UNITED STATES                  ","MN","WABASHA","09",44.300000,-92.400000,1033.000000,"","Shape"
